[09:35:53] [INFO] received Windows console close event; shutting log-core down
[09:52:45] [INFO] received Windows console close event; shutting log-core down
[10:39:42] [INFO] received Windows console close event; shutting log-core down
[10:54:48] [INFO] received Windows console close event; shutting log-core down
[10:59:08] [INFO] received Windows console close event; shutting log-core down
[11:01:14] [INFO] received Windows console close event; shutting log-core down
[11:02:57] [INFO] received Windows console close event; shutting log-core down
[11:09:02] [INFO] received Windows console close event; shutting log-core down
[11:10:17] [INFO] received Windows console close event; shutting log-core down
[11:19:00] [INFO] received Windows console close event; shutting log-core down
[11:19:13] [INFO] received Windows console close event; shutting log-core down
[11:21:55] [INFO] received Windows console close event; shutting log-core down
[20:48:53] [INFO] received Windows console close event; shutting log-core down
[20:54:33] [INFO] received Windows console close event; shutting log-core down
[20:57:48] [INFO] received Windows console close event; shutting log-core down
[21:07:45] [INFO] received Windows console close event; shutting log-core down
[21:39:34] [INFO] received Windows console close event; shutting log-core down
[07:49:58] [INFO] received Windows console close event; shutting log-core down
[17:23:04] [INFO] received Windows console close event; shutting log-core down
[17:55:03] [INFO] received Windows console close event; shutting log-core down
[17:55:04] [INFO] received Windows console close event; shutting log-core down
[17:56:05] [INFO] received Windows console close event; shutting log-core down
[19:05:40] [INFO] received Windows console close event; shutting log-core down
[19:20:01] [INFO] received Windows console close event; shutting log-core down
[19:20:14] [INFO] received Windows console close event; shutting log-core down
[19:20:35] [INFO] received Windows console close event; shutting log-core down
[19:20:47] [INFO] received Windows console close event; shutting log-core down
[19:22:25] [INFO] received Windows console close event; shutting log-core down
[21:03:14] [INFO] received Windows console close event; shutting log-core down
[21:55:49] [INFO] received Windows console close event; shutting log-core down
[21:56:24] [INFO] received Windows console close event; shutting log-core down
[21:56:36] [INFO] received Windows console close event; shutting log-core down
[21:57:06] [INFO] received Windows console close event; shutting log-core down
[21:57:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:58:22] [INFO] received Windows console close event; shutting log-core down
[21:59:06] [INFO] received Windows console close event; shutting log-core down
[21:59:13] [INFO] received Windows console close event; shutting log-core down
[21:59:47] [INFO] received Windows console close event; shutting log-core down
[22:02:53] [INFO] received Windows console close event; shutting log-core down
[22:09:11] [INFO] received Windows console close event; shutting log-core down
[22:13:54] [INFO] received Windows console close event; shutting log-core down
[22:42:56] [INFO] received Windows console close event; shutting log-core down
[23:05:43] [INFO] received Windows console close event; shutting log-core down
[23:06:12] [INFO] received Windows console close event; shutting log-core down
[23:07:11] [INFO] received Windows console close event; shutting log-core down
[23:09:32] [INFO] received Windows console close event; shutting log-core down
[23:09:33] [INFO] received Windows console close event; shutting log-core down
[23:10:20] [INFO] received Windows console close event; shutting log-core down
[23:22:43] [INFO] received Windows console close event; shutting log-core down
[23:26:40] [INFO] received Windows console close event; shutting log-core down
[23:29:58] [INFO] received Windows console close event; shutting log-core down
[23:30:46] [INFO] received Windows console close event; shutting log-core down
[23:35:06] [INFO] received Windows console close event; shutting log-core down
[23:37:58] [INFO] received Windows console close event; shutting log-core down
[23:38:38] [INFO] received Windows console close event; shutting log-core down
[23:43:28] [INFO] received Windows console close event; shutting log-core down
[23:44:00] [INFO] received Windows console close event; shutting log-core down
[23:45:28] [INFO] received Windows console close event; shutting log-core down
[23:46:40] [INFO] received Windows console close event; shutting log-core down
[23:49:07] [INFO] received Windows console close event; shutting log-core down
[23:51:29] [INFO] received Windows console close event; shutting log-core down
[00:08:11] [INFO] received Windows console close event; shutting log-core down
[00:11:30] [INFO] received Windows console close event; shutting log-core down
[00:12:54] [INFO] received Windows console close event; shutting log-core down
[00:15:20] [INFO] received Windows console close event; shutting log-core down
[09:21:54] [INFO] received Windows console close event; shutting log-core down
[09:22:21] [INFO] received Windows console close event; shutting log-core down
[09:22:32] [INFO] received Windows console close event; shutting log-core down
[09:28:26] [INFO] received Windows console close event; shutting log-core down
[09:31:59] [INFO] received Windows console close event; shutting log-core down
[12:22:38] [INFO] received Windows console close event; shutting log-core down
[13:58:43] [INFO] received Windows console close event; shutting log-core down
[14:05:12] [INFO] received Windows console close event; shutting log-core down
[14:16:04] [INFO] received Windows console close event; shutting log-core down
[14:17:39] [INFO] received Windows console close event; shutting log-core down
[14:20:42] [INFO] received Windows console close event; shutting log-core down
[14:24:24] [INFO] received Windows console close event; shutting log-core down
[14:29:46] [INFO] received Windows console close event; shutting log-core down
[16:51:21] [INFO] received Windows console close event; shutting log-core down
[16:54:05] [INFO] received Windows console close event; shutting log-core down
[17:07:52] [INFO] received Windows console close event; shutting log-core down
[17:08:40] [INFO] received Windows console close event; shutting log-core down
[17:10:25] [INFO] received Windows console close event; shutting log-core down
